"CASE","language","am_ar_1","am_ar_2","am_ar_3","am_ar_4","bed_ar_1","bed_ar_2","bed_ar_3","bed_ar_4","ds_ar_1","ds_ar_2","ds_ar_3","ds_ar_4","mvs_ar_1","mvs_ar_2","mvs_ar_3","mvs_ar_4","am_bi_1","am_bi_2","am_bi_3","bed_bi_1","bed_bi_2","bed_bi_3","ds_bi_1","ds_bi_2","ds_bi_3","mvs_bi_1","mvs_bi_2","mvs_bi_3","am_gr_1","am_gr_2","bed_gr_1","bed_gr_2","ds_gr_1","ds_gr_2","mvs_gr_1","mvs_gr_2","am_me_1","am_me_2","am_me_4","am_me_5","am_me_6","am_me_7","bed_me_1","bed_me_2","bed_me_4","bed_me_5","bed_me_6","bed_me_7","ds_me_1","ds_me_2","ds_me_3","ds_me_4","ds_me_5","ds_me_6","ds_me_7","mvs_me_1","mvs_me_2","mvs_me_4","mvs_me_5","mvs_me_6","mvs_me_7","am_pe_1","am_pe_2","am_pe_3","am_pe_4","bed_pe_1","bed_pe_2","bed_pe_3","bed_pe_4","ds_pe_1","ds_pe_2","ds_pe_3","ds_pe_4","mvs_pe_1","mvs_pe_2","mvs_pe_3","mvs_pe_4","am_se_1","am_se_2","am_se_3","am_se_4","bed_se_1","bed_se_2","bed_se_3","bed_se_4","ds_se_1","ds_se_2","ds_se_3","ds_se_4","mvs_se_1","mvs_se_2","mvs_se_3","mvs_se_4","am_ar_sum","am_bi_sum","am_gr_sum","am_me_sum","am_pe_sum","am_se_sum","bed_ar_sum","bed_bi_sum","bed_gr_sum","bed_me_sum","bed_pe_sum","bed_se_sum","ds_ar_sum","ds_bi_sum","ds_gr_sum","ds_me_sum","ds_pe_sum","ds_se_sum","mvs_ar_sum","mvs_bi_sum","mvs_gr_sum","mvs_me_sum","mvs_pe_sum","mvs_se_sum"
560,"ES",4,7,6,6,6,7,7,6,4,5,5,4,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,3,4,5,5,7,7,7,7,7,7,6,7,5,5,7,7,5,6,5,7,5,5,4,7,7,4,4,7,7,6,7,6,1,6,2,4,3,2,2,2,1,5,5,5,4,5,7,6,6,5,5,5,5,5,5,7,4,6,6,6,6,23,12,10,42,20,24,26,12,10,37,15,20,18,12,7,37,7,21,24,12,10,36,19,24
561,"ES",1,2,2,2,5,5,5,6,7,2,5,5,3,2,2,2,1,1,1,3,5,2,2,2,2,1,1,1,2,2,7,7,6,6,3,2,4,3,2,3,3,2,6,6,7,6,6,6,5,5,5,5,5,5,5,3,3,3,2,2,2,3,2,2,2,7,7,5,4,7,5,7,4,5,3,3,1,3,3,3,2,5,5,3,5,5,6,4,5,2,3,1,6,7,3,4,17,9,11,21,10,14,37,23,18,19,6,12,35,23,20,9,3,5,15,12,12
562,"ES",5,5,5,3,6,5,6,6,6,5,6,5,6,6,7,6,2,2,3,4,4,4,2,3,3,6,4,4,6,5,6,6,6,6,6,5,6,6,6,5,6,6,5,5,6,6,4,6,6,7,6,6,7,5,6,6,6,6,5,4,4,3,3,3,2,6,6,5,3,6,4,4,2,7,6,6,2,2,3,3,3,6,5,6,5,3,3,5,4,5,6,5,6,18,7,11,35,11,11,23,12,12,32,20,22,22,8,12,43,16,15,25,14,11,31,21,22
563,"ES",7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,1,1,1,7,7,7,1,1,1,1,1,1,7,7,6,6,7,7,7,7,7,7,7,7,7,7,4,6,6,6,5,4,7,7,7,7,7,7,7,5,5,6,4,6,5,7,7,7,6,6,7,7,4,7,7,7,7,6,6,6,4,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,28,3,14,42,27,28,28,21,12,31,24,28,28,3,14,49,28,28,24,3,14,31,22,24
564,"ES",4,5,5,5,7,7,7,7,6,6,6,6,7,7,7,7,4,1,4,4,4,5,4,4,4,4,4,4,6,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,1,7,7,7,1,7,7,7,1,7,7,7,1,6,7,5,4,7,7,7,7,5,5,6,5,6,6,6,6,19,9,12,41,19,22,28,13,14,42,22,28,24,12,14,49,22,21,28,12,14,42,22,24
565,"ES",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,1,1,7,1,1,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,1,7,7,7,2,7,7,4,6,7,7,7,4,7,7,7,4,7,1,7,4,28,9,14,42,22,24,28,9,14,42,28,25,28,9,14,49,22,25,28,9,14,42,23,19
566,"ES",6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,3,3,3,1,1,1,7,7,7,7,5,5,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,6,6,1,1,7,7,7,1,7,7,7,1,5,5,1,1,7,7,4,4,7,7,7,7,7,1,1,4,1,1,1,1,27,12,14,42,14,22,28,12,14,42,22,28,28,9,10,49,22,13,28,3,4,39,12,4
567,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,21,14,42,25,28
568,"ES",6,7,7,7,6,6,6,6,6,6,7,7,7,7,7,7,5,5,5,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,6,6,6,6,6,7,7,7,7,7,7,7,6,6,7,6,7,7,7,6,6,5,6,6,6,6,7,7,7,4,7,7,7,4,6,7,4,6,6,6,6,6,5,6,2,4,6,6,1,4,27,15,14,41,24,23,24,12,14,36,24,24,26,12,14,49,25,17,28,12,14,39,25,17
569,"ES",5,5,6,6,5,6,6,6,4,6,6,7,7,7,7,7,1,1,1,6,1,1,2,2,2,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,6,4,6,6,6,7,3,7,7,7,7,7,7,7,7,7,5,7,7,2,2,4,3,3,2,7,7,7,7,3,3,4,5,6,6,6,6,4,5,5,5,7,7,7,7,22,3,14,42,26,15,23,8,14,38,18,24,23,6,14,38,12,19,28,16,14,42,28,28
570,"ES",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,2,1,1,7,7,7,7,7,7,7,7,6,5,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,28,9,14,36,24,28,28,3,14,42,28,28,28,3,14,49,27,28,28,4,14,42,28,28
571,"ES",5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,2,7,7,7,4,5,6,7,6,5,5,7,5,7,7,7,7,7,7,7,7,22,21,14,42,23,24,28,21,14,42,28,22,28,21,14,49,23,28,28,21,13,42,25,28
572,"ES",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,6,5,7,6,6,7,6,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,28,18,14,42,28,28,28,18,14,42,28,28,28,19,14,49,28,28,28,18,14,42,25,28
573,"ES",6,5,6,6,6,6,6,6,6,6,6,7,6,6,6,5,5,5,5,6,5,5,2,2,2,3,3,3,7,7,6,6,7,7,5,4,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,5,4,5,5,6,5,6,6,5,5,7,6,6,1,5,6,4,3,5,5,4,5,4,5,5,5,4,7,6,6,5,6,6,6,23,15,14,42,21,19,24,16,12,36,22,19,25,6,14,42,20,23,23,9,9,27,18,23
574,"ES",5,7,7,7,6,7,7,7,5,7,7,7,5,7,7,7,5,5,5,5,6,6,6,7,7,6,6,6,6,6,7,6,7,7,6,6,7,7,7,6,7,7,7,6,7,5,6,6,7,7,7,7,6,7,6,6,6,7,6,6,7,5,4,4,3,6,5,5,4,7,7,7,4,5,5,5,4,4,6,7,6,5,5,6,5,5,7,7,6,5,6,7,6,26,15,12,41,16,23,27,17,13,37,20,21,26,20,14,47,25,25,26,18,12,38,19,24
575,"ES",6,7,6,7,7,4,5,6,7,7,5,7,7,6,7,7,1,1,1,6,6,6,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,6,7,4,7,7,6,7,7,4,7,7,7,7,7,7,4,7,7,7,5,6,4,6,2,2,2,7,6,6,2,7,7,7,2,7,5,4,2,3,6,1,7,4,5,4,4,7,2,7,4,7,1,7,1,26,3,14,38,12,17,22,18,14,38,21,17,26,21,14,46,23,20,27,19,14,36,18,16
576,"ES",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,4,4,7,7,7,7,28,21,14,42,28,28,28,21,14,42,28,28,28,21,14,49,28,19,28,21,14,42,28,28
577,"ES",4,6,4,6,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,7,7,7,4,4,4,7,4,4,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,2,2,7,7,7,7,5,5,6,5,7,7,7,7,6,7,7,6,4,7,7,7,1,7,5,4,4,7,7,4,20,12,11,42,12,26,28,21,14,40,28,25,28,12,14,49,21,17,28,15,14,42,28,22
578,"ES",5,5,6,5,7,7,7,7,6,7,7,7,5,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,7,7,7,7,5,5,6,5,7,5,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,5,7,7,5,6,7,3,5,5,4,7,6,6,6,7,7,7,4,3,6,6,4,4,4,4,4,7,7,7,7,4,4,4,5,6,4,5,4,21,12,9,36,17,16,28,12,14,41,25,28,27,12,14,49,25,17,22,12,10,37,19,19
579,"ES",NA,NA,NA,NA,7,1,1,1,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,7,6,7,7,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,3,6,6,6,6,6,6,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,5,6,1,5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,13,28,4,17,10,3,14,43,4,4,NA,NA,NA,NA,NA,NA
580,"ES",7,7,7,7,6,7,6,7,6,7,7,7,4,6,5,4,4,5,4,4,5,5,5,5,4,4,4,4,7,7,7,7,7,7,4,4,7,7,7,7,7,7,7,7,7,4,6,6,7,7,7,7,7,7,7,4,6,2,4,4,4,7,4,7,5,7,7,7,7,7,7,7,4,5,7,7,5,4,7,4,7,7,7,5,6,7,7,7,7,4,6,4,6,28,13,14,42,23,22,26,14,14,37,28,25,27,14,14,49,25,28,19,12,8,24,24,20
581,"ES",6,5,4,7,7,5,4,5,7,5,5,4,7,7,6,7,1,2,4,1,2,2,1,2,2,1,2,5,7,7,6,6,5,4,7,7,7,7,7,6,7,7,6,6,6,5,6,7,6,6,7,7,3,3,7,7,7,7,7,7,7,7,7,7,4,6,6,6,4,5,5,5,4,7,7,7,5,7,5,7,6,6,5,5,6,4,4,4,4,7,6,7,7,22,7,14,41,25,25,21,5,12,36,22,22,21,5,9,39,19,16,27,8,14,42,26,27
582,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
583,"ES",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,7,7,7,7,7,4,7,1,7,7,7,4,7,7,7,1,7,7,7,1,7,7,7,4,28,12,14,42,28,25,28,12,14,42,22,22,28,12,14,49,28,22,28,12,14,42,19,25
584,"ES",5,6,7,7,3,4,4,4,4,5,5,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,7,7,4,4,4,5,6,6,7,7,7,5,7,2,5,6,4,3,4,4,5,7,6,4,4,5,4,7,7,5,6,6,6,7,7,7,3,5,4,4,1,5,2,4,1,7,7,6,2,6,6,6,6,4,4,6,5,2,5,5,6,5,5,6,6,25,3,14,35,24,24,15,3,8,26,14,19,20,3,9,35,12,18,24,3,12,37,22,22
585,"ES",5,6,5,6,5,6,6,6,4,6,6,6,4,6,5,4,2,2,2,2,2,2,2,2,2,2,2,2,6,6,7,6,5,4,5,3,5,6,5,6,7,4,6,5,4,5,6,4,5,4,4,3,3,4,4,4,4,3,2,6,4,6,4,5,5,6,5,5,4,5,4,4,4,4,5,4,4,4,5,6,5,5,6,6,5,4,5,5,5,5,5,5,5,22,6,12,33,20,20,23,6,13,30,20,22,22,6,9,27,17,19,19,6,8,23,17,20
586,"ES",7,7,7,7,7,4,7,7,5,4,5,4,7,7,7,7,7,4,4,7,7,7,4,4,4,7,7,7,7,7,7,7,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,4,7,4,7,4,6,4,4,4,7,7,7,4,5,5,5,7,7,7,7,7,4,4,4,6,7,4,7,7,28,15,14,42,21,22,25,21,14,42,22,28,18,12,11,49,18,18,28,21,14,42,25,25
587,"ES",5,6,6,6,5,4,4,6,5,6,6,6,7,5,5,6,4,4,4,4,4,4,5,5,5,4,4,4,7,7,6,6,7,7,7,7,6,6,7,7,7,7,7,5,7,7,7,6,4,4,4,6,7,6,7,5,6,7,7,7,7,6,7,6,5,6,7,6,6,7,6,7,7,6,7,7,6,5,5,6,6,5,5,6,5,4,6,6,5,7,5,5,6,23,12,14,40,24,22,19,12,12,39,25,21,23,15,14,38,27,21,23,12,14,39,26,23
588,"ES",7,7,7,7,7,7,7,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,5,5,5,4,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,28,21,14,42,27,28,28,21,14,42,28,28,25,21,14,48,19,28,28,21,14,42,26,28
589,"ES",7,7,7,7,7,7,7,7,7,7,7,7,4,3,5,6,7,7,7,7,7,7,6,6,6,3,3,3,7,7,7,7,7,7,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,6,5,6,7,7,7,7,7,7,7,7,7,6,7,7,5,6,7,6,4,7,7,7,7,7,7,7,7,2,6,2,6,7,7,2,6,28,21,14,42,28,28,28,21,14,42,28,28,28,18,14,49,25,16,18,9,11,34,23,22
590,"ES",6,6,5,7,3,6,4,4,4,4,5,5,5,6,6,7,6,7,4,5,5,4,5,6,4,6,6,6,7,7,5,4,5,5,5,5,7,7,7,6,6,7,7,6,7,4,3,7,5,7,6,4,4,6,3,4,3,5,3,4,2,7,6,6,5,5,3,3,2,5,6,6,4,6,6,6,3,6,6,6,7,4,5,4,5,5,6,4,6,4,5,5,6,24,17,14,40,24,25,17,14,9,34,13,18,18,15,10,35,21,21,24,18,10,21,21,20
591,"ES",4,6,6,7,7,7,7,7,7,6,6,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,7,6,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,4,4,4,7,7,4,4,7,7,7,4,7,6,6,4,4,7,5,5,4,7,7,4,5,7,7,7,4,6,5,6,23,12,13,40,18,21,28,12,14,42,22,22,26,12,14,49,25,26,25,12,12,42,23,21
592,"ES",7,7,4,7,7,7,4,7,7,4,4,7,7,7,4,7,4,7,7,4,7,7,4,7,7,4,7,7,7,7,4,7,7,4,7,7,7,7,7,7,7,7,5,5,5,6,6,7,6,4,6,6,6,7,1,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,4,4,4,7,7,7,7,4,7,7,7,7,7,7,4,4,7,7,4,7,7,7,4,25,18,14,42,28,25,25,18,11,34,25,25,22,18,11,36,19,22,25,18,14,42,28,25
593,"ES",5,5,3,5,5,5,6,6,7,7,7,7,7,7,7,7,3,5,5,2,2,2,6,6,6,5,6,6,5,5,7,6,7,7,6,6,7,7,7,6,7,4,7,7,6,5,6,4,7,7,7,7,7,7,5,7,7,7,7,7,5,6,3,3,3,5,2,2,1,7,7,7,3,6,5,6,3,5,7,5,6,5,6,6,6,6,7,6,4,4,6,5,5,18,13,10,38,15,23,22,6,13,35,10,23,28,18,14,47,24,23,28,17,12,40,20,20
594,"ES",7,7,7,7,2,5,3,5,7,6,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,3,3,3,7,7,6,5,7,7,7,6,7,7,7,7,7,7,7,7,5,5,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,3,2,1,1,1,7,6,7,2,6,6,6,3,7,3,6,7,1,1,1,1,2,2,2,2,3,5,3,5,28,3,14,42,24,23,15,3,11,37,5,4,23,3,14,49,22,8,20,9,13,40,21,16
595,"ES",5,6,6,4,6,6,6,6,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,7,6,3,4,5,5,6,6,6,3,4,6,6,6,6,6,6,6,3,4,5,5,5,5,5,5,5,5,5,5,5,7,4,5,4,6,6,6,6,4,5,5,3,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21,3,10,31,20,20,24,3,13,36,24,20,20,3,7,32,17,20,20,3,10,30,24,20
596,"ES",7,7,7,5,7,5,5,2,7,7,7,7,7,6,7,7,5,3,6,1,1,1,7,7,7,4,1,3,7,5,3,2,7,7,7,7,7,7,6,5,6,6,7,7,3,6,3,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,2,3,1,1,1,7,7,7,4,7,6,7,1,6,4,4,4,2,4,6,6,4,7,5,4,7,7,7,6,26,14,12,37,21,18,19,3,5,32,6,18,28,21,14,49,25,20,27,8,14,42,21,27
597,"ES",5,6,6,6,5,6,6,6,5,7,7,7,4,5,6,6,5,3,3,5,5,5,5,3,3,5,2,2,7,7,7,6,6,6,5,5,4,4,5,5,5,5,4,4,5,4,6,4,4,4,6,6,6,7,4,4,4,4,4,4,4,7,4,5,4,7,7,4,4,7,6,6,5,5,6,5,4,4,5,5,5,4,6,6,6,4,7,6,6,4,6,6,5,23,11,14,28,20,19,23,15,13,27,22,22,26,11,12,37,24,23,21,9,10,24,20,21
598,"ES",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,28,18,14,41,28,27,28,17,14,42,28,25,28,18,14,49,28,28,28,18,14,40,28,28
599,"ES",7,7,7,7,6,7,6,6,6,6,5,6,4,4,4,6,3,6,6,5,7,6,5,5,5,3,5,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,5,7,5,6,7,4,7,7,7,7,7,7,7,5,7,7,7,4,7,7,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,5,28,15,14,42,28,28,25,18,14,42,26,28,23,15,11,47,25,28,18,15,14,34,25,20
600,"ES",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,28,11,14,42,27,28,28,21,14,42,28,28,28,21,14,49,28,28,28,21,14,42,28,28
601,"ES",7,7,7,7,7,7,7,7,4,4,7,7,7,7,7,7,7,7,7,4,4,7,7,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,1,7,7,7,1,7,7,7,1,4,7,7,7,4,7,7,4,1,7,7,7,7,7,7,7,28,21,14,42,22,25,28,15,14,42,22,22,22,15,14,46,22,22,28,21,14,42,22,28
602,"ES",6,7,7,7,7,6,7,7,6,4,7,6,7,4,6,7,2,3,3,1,1,1,2,3,3,4,4,2,7,7,6,6,6,6,7,7,7,7,6,6,7,7,7,4,4,5,5,7,7,5,7,5,4,6,7,7,7,7,5,6,7,7,2,2,1,5,7,7,1,6,4,6,1,7,7,7,1,1,4,6,5,2,6,7,6,1,7,4,6,3,6,7,7,27,8,14,40,12,16,27,3,12,32,20,21,23,8,12,41,17,18,24,10,14,39,22,23
603,"ES",6,6,6,6,6,7,7,7,7,7,5,5,7,7,7,7,1,1,1,4,4,4,2,2,2,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,3,1,7,6,6,1,5,5,5,1,7,7,7,1,3,5,6,6,4,6,7,6,5,5,6,6,3,5,6,6,24,3,14,42,15,20,27,12,14,42,20,23,24,6,14,49,16,22,28,18,14,42,22,20
604,"ES",5,5,5,5,5,5,5,5,7,7,6,6,6,6,5,5,1,1,1,1,1,1,1,1,1,1,1,1,6,6,5,6,7,7,6,5,6,6,5,3,6,6,6,6,5,5,4,5,7,7,7,6,5,6,6,6,6,6,5,5,6,5,4,4,5,5,4,5,7,6,5,6,7,6,6,6,6,7,6,5,5,5,5,5,5,6,5,5,5,6,5,5,5,20,3,12,32,18,23,20,3,11,31,21,20,26,3,14,44,24,21,22,3,11,34,24,21
605,"ES",7,6,6,6,6,5,5,5,6,5,5,6,7,6,6,6,6,6,6,2,2,2,5,5,5,6,5,6,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,6,6,5,6,4,4,4,7,5,5,4,7,6,6,5,7,6,6,6,5,6,6,6,6,5,5,6,6,6,6,6,25,18,14,42,24,25,21,6,12,41,18,23,22,15,12,47,21,22,25,17,14,42,24,24
606,"ES",6,7,7,7,7,7,7,7,4,5,4,4,7,7,7,7,3,4,3,5,5,5,2,2,2,3,3,3,7,7,7,7,4,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,4,6,4,4,1,7,7,7,7,7,7,7,7,6,6,4,7,7,5,4,4,4,4,4,7,7,7,4,6,7,6,5,3,6,4,6,4,4,4,4,2,5,5,6,27,10,14,42,23,24,28,15,14,42,23,19,17,6,7,32,16,16,28,9,14,42,25,18
607,"ES",4,7,7,7,3,7,7,7,7,7,7,7,4,7,6,7,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,4,7,4,7,7,7,7,7,7,4,7,7,7,3,7,4,7,7,7,4,7,7,3,4,7,7,7,4,7,7,6,2,4,4,7,7,7,7,5,7,4,7,5,7,4,7,4,7,25,12,14,39,25,22,24,12,14,36,21,26,28,12,14,46,25,23,24,12,14,35,22,22
608,"ES",7,7,7,7,6,5,5,7,7,7,7,7,5,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,4,6,7,7,7,7,7,7,7,7,4,7,7,7,7,7,4,5,5,7,7,7,7,5,7,7,7,7,7,7,7,6,7,7,7,28,21,14,39,28,28,23,21,14,42,25,26,28,21,14,49,28,28,24,21,14,36,21,27
609,"ES",6,6,6,6,5,6,6,6,6,6,6,6,3,6,6,4,6,4,4,6,4,4,6,4,4,4,5,5,7,7,7,7,7,7,6,6,6,6,6,4,6,6,6,6,6,6,6,6,7,7,7,7,5,7,7,5,5,5,2,5,4,7,7,6,6,7,5,5,4,7,6,6,4,5,3,3,2,4,3,5,5,6,5,5,5,2,5,5,6,2,5,5,5,24,14,14,34,26,17,23,14,14,36,21,21,24,14,14,47,23,18,19,14,12,26,13,17
611,"ES",7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,3,2,2,4,4,4,4,4,4,4,4,4,7,7,7,7,6,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,7,7,7,4,4,4,4,4,7,4,4,4,7,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,28,7,14,42,16,19,28,12,14,42,25,28,25,12,10,49,16,28,28,12,14,42,19,28
612,"ES",5,7,4,6,6,7,7,7,7,4,5,7,7,6,6,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,4,5,5,4,4,1,1,1,7,7,7,4,1,1,1,4,4,7,7,6,6,7,7,7,7,3,7,4,7,7,7,7,22,3,14,42,18,24,27,3,14,42,7,27,23,3,14,46,25,21,26,3,14,42,7,28
615,"ES",6,7,7,7,6,7,7,7,5,6,6,6,4,5,6,5,5,5,5,5,5,5,5,5,5,4,4,4,7,7,7,7,7,7,6,5,4,5,6,5,7,7,4,6,6,4,6,7,4,6,4,6,5,7,7,5,1,6,4,5,7,7,7,7,4,7,7,7,4,7,7,7,4,6,6,6,2,7,7,7,7,7,7,7,7,6,6,6,6,6,6,4,5,27,15,14,34,25,28,27,15,14,33,25,28,23,15,14,39,25,24,20,12,11,28,20,21
